Quality	#1 ID	#2 ID	#1 String	#2 String
1	0432293	2512051	メンバーズステーション から の 申し込み の やり方 が 分から ない	スマート フォン から も オプション に 加入 でき ます か
0	0432293	7033770	メンバーズステーション から の 申し込み の やり方 が 分から ない	で の アップ ロード が うまく でき ませ ん
1	5488728	1375418	かけ 放題 を 申し込み たい	楽天 マンガ 月額 コース 楽天 モバイル に 申し込み たい
0	5488728	7668014	かけ 放題 を 申し込み たい	先月 の 利用 料金 と 比較 が し たい 。 い つ から 確認 でき ます か
1	7713964	6013368	データ 復旧 サービス ・ マカフィー ® マルチ アクセス パック に 申し込み たい	つながる 端末 補償 ｂ ｙ 楽天 モバイル に 申し込み たい
0	7713964	2505702	データ 復旧 サービス ・ マカフィー ® マルチ アクセス パック に 申し込み たい	住所 不一致 の メール が 届い た ので 、 補助 書類 を アップ ロード し たい が 方法 は
1	3882053	4919241	国際 電話 に 申し込み たい	メンバーズステーション で オプション サービス を 追加 でき ます か
0	3882053	3204297	国際 電話 に 申し込み たい	不備 と 連絡 が あっ た ので 、 本人 確認 書類 を 再度 アップ ロード し たい です
1	9009426	3366090	メンバーズステーション で 楽天 メール を 利用 でき ます か	オプション を 使い たい
0	9009426	9276266	メンバーズステーション で 楽天 メール を 利用 でき ます か	メルアド の パスワード を 変え たい
1	8267150	5488728	楽天 でんわ の 申し込み は 、 楽天 でんわ マイ ページ から です か	かけ 放題 を 申し込み たい
0	8267150	6422370	楽天 でんわ の 申し込み は 、 楽天 でんわ マイ ページ から です か	オプション の 申し込み を し たい の です が 、 メンバーズステーション に 入れ ませ ん
1	4005177	7554036	５ 分 かけ 放題 を 申し込み たい	オプション を 利用 し たい
0	4005177	8799727	５ 分 かけ 放題 を 申し込み たい	を 再開 し たい
1	3366090	1599872	オプション を 使い たい	楽天 でんわ を 申し込み たい
0	3366090	8000571	オプション を 使い たい	スマホ を 盗難 さ れ た
1	5090314	5213925	開通 後 、 どう やっ て オプション に 申し込め ば いい です か	オプション を 利用 する ため に は どう すれ ば いい です か
0	5090314	4739701	開通 後 、 どう やっ て オプション に 申し込め ば いい です か	本人 確認 書類 再 提出 の ご 案内 メール が 送ら れ て き まし た
1	7871091	9371150	転送 電話 サービス に 申し込み たい	２ ヶ月 無料 オプション に 申し込み たい
